Date,Open,High,Low,Close,Volume
2021-08-05,117.31,117.34,113.88,116.23,43093812
2021-08-06,115.74,121.11,114.4,120.1,20628426
2021-08-09,119.97,122.46,117.02,117.33,32920760
2021-08-10,117.54,117.98,116.97,117.73,38653054
2021-08-11,117.78,118.71,112.52,112.83,49100133
2021-08-12,112.94,114.07,111.75,112.85,21353967
2021-08-13,112.51,115.08,112.22,114.92,30489112
2021-08-16,115.14,116.95,112.35,114.4,18080492
2021-08-17,114.04,114.08,112.35,112.99,20374524
2021-08-18,113.03,114.23,112.88,113.54,29449447
2021-08-19,113.85,115.43,113.83,115.16,32447020
2021-08-20,115.6,116.91,114.87,116.72,15482601
2021-08-23,116.84,121.71,115.87,121.45,37034211
2021-08-24,121.66,122.41,118.88,121.98,15999086
2021-08-25,121.83,124.28,119.55,120.57,17160302
2021-08-26,120.45,121.47,119.58,120.29,7288794
2021-08-27,120.57,121.04,119.32,120.14,44722567
2021-08-30,120.14,121.08,118.38,120.42,37157610
2021-08-31,120.39,121.91,119.85,120.37,22559461
2021-09-01,120.03,121.13,119.15,120.82,46461006
2021-09-02,120.85,122.46,115.57,116.87,31932529
2021-09-03,117.02,119.07,116.94,118.85,5222261
2021-09-06,118.66,118.66,116.81,117.51,10040186
2021-09-07,117.4,119.09,114.15,114.81,17975448
2021-09-08,115.18,117.74,114.53,116.31,11108607
2021-09-09,116.35,120.11,115.5,119.44,44141364
2021-09-10,119.37,121.16,119.21,120.65,38893925
2021-09-13,120.37,121.18,119.51,121.06,32043249
2021-09-14,120.91,121.39,117.86,118.85,26052245
2021-09-15,118.79,127.47,117.98,125.9,10785756
2021-09-16,126.24,129.4,124.0,128.16,41282336
2021-09-17,128.0,128.37,124.31,125.3,15817790
2021-09-20,125.75,126.17,122.51,123.38,21448589
2021-09-21,123.15,124.38,119.67,123.62,14335142
2021-09-22,123.54,123.7,118.27,119.86,22601934
2021-09-23,120.06,120.38,119.21,120.29,6523141
2021-09-24,120.23,122.23,117.29,119.22,34883717
2021-09-27,119.02,123.17,118.89,122.2,10786814
2021-09-28,122.17,125.32,121.45,124.6,42701808
2021-09-29,124.71,126.06,117.69,118.05,10719061
2021-09-30,117.64,118.42,116.41,118.17,14253251
2021-10-01,118.11,119.16,113.26,114.43,27670893
2021-10-04,114.41,117.14,113.63,117.02,9598834
2021-10-05,116.93,117.94,116.48,117.44,39571126
2021-10-06,117.61,119.54,117.28,118.76,17975186
2021-10-07,118.62,119.14,116.23,116.28,28359809
2021-10-08,116.19,120.83,116.01,120.63,45072075
2021-10-11,120.64,126.42,119.79,125.63,34530781
2021-10-12,125.81,126.9,122.76,123.01,27075168
2021-10-13,122.95,124.02,121.87,123.95,44767111
2021-10-14,124.33,125.37,120.47,122.32,27172357
2021-10-15,122.1,122.67,121.19,122.29,40137105
2021-10-18,122.6,124.13,118.83,119.26,40969353
2021-10-19,119.05,125.21,117.12,123.82,9489169
2021-10-20,123.78,125.74,119.86,121.46,31827690
2021-10-21,121.55,123.78,120.13,120.77,6208337
2021-10-22,121.27,123.87,120.69,122.01,24357519
2021-10-25,122.23,122.36,120.1,120.47,46843234
2021-10-26,120.37,122.62,119.18,119.92,21953949
2021-10-27,120.23,121.56,116.91,118.6,16735052
2021-10-28,118.55,120.14,118.15,118.3,33785249
2021-10-29,118.12,118.67,115.0,115.59,43846163
2021-11-01,115.69,116.59,111.95,114.6,42298887
2021-11-02,114.63,118.15,112.53,114.15,12852248
2021-11-03,114.37,114.38,113.01,113.42,43311672
2021-11-04,113.29,114.08,112.32,113.57,44569861
2021-11-05,113.66,113.98,112.32,112.93,15428491
2021-11-08,113.07,114.69,111.76,114.66,24814325
2021-11-09,114.73,115.2,113.04,113.95,26162151
2021-11-10,113.94,115.56,112.67,113.66,6301066
2021-11-11,113.5,114.48,112.07,112.18,22139388
2021-11-12,112.38,113.95,109.72,111.03,49506427
2021-11-15,111.06,111.13,107.69,108.28,21641972
2021-11-16,108.38,109.69,107.97,109.43,10259218
2021-11-17,109.35,110.93,106.5,106.98,17888701
2021-11-18,106.98,107.79,104.8,105.41,6063881
2021-11-19,105.2,106.82,103.11,106.2,32002189
2021-11-22,106.21,107.72,104.49,107.08,41038809
2021-11-23,107.24,108.48,105.94,106.24,29164496
2021-11-24,106.26,106.61,101.11,102.06,19675246
2021-11-25,102.23,103.25,101.03,102.94,48816560
2021-11-26,103.01,104.24,102.85,103.5,6426181
2021-11-29,103.78,104.11,99.12,100.64,17239045
2021-11-30,100.6,104.09,100.55,102.22,5546235
2021-12-01,101.88,103.28,98.48,100.82,49074681
2021-12-02,100.9,102.17,98.53,98.59,23319029
2021-12-03,98.56,99.09,98.07,98.8,15476843
2021-12-06,98.61,98.88,97.68,98.47,9741913
2021-12-07,98.59,99.18,98.08,98.89,45967242
2021-12-08,98.94,99.19,94.41,95.78,20847622
2021-12-09,95.86,100.73,95.64,99.33,14430783
2021-12-10,99.27,99.82,98.08,98.16,35892588
2021-12-13,98.2,98.26,93.12,95.21,11781684
2021-12-14,95.25,96.48,95.2,96.41,47793603
2021-12-15,96.75,97.82,95.43,95.75,41958484
2021-12-16,95.62,97.48,95.11,96.39,18206846
2021-12-17,96.39,97.71,94.64,95.76,20591399
2021-12-20,95.83,97.63,94.91,95.66,30899639
2021-12-21,95.33,96.62,93.94,96.15,5593518
2021-12-22,95.85,97.29,94.42,94.75,36683849
2021-12-23,95.16,96.29,94.47,96.06,37011645
2021-12-24,95.72,95.76,94.87,95.18,40744174
2021-12-27,95.29,95.38,93.17,93.56,7413221
2021-12-28,93.4,94.26,92.96,93.72,27212989
2021-12-29,93.58,95.39,92.27,94.58,13167014
2021-12-30,94.2,94.98,93.46,94.17,40602152
2021-12-31,94.0,94.93,91.7,92.57,49800361
2022-01-03,92.72,94.77,90.98,93.75,25778967
2022-01-04,93.49,94.02,90.5,90.52,9578902
2022-01-05,90.63,90.76,88.4,88.69,38444402
2022-01-06,88.75,89.1,87.94,88.78,26851758
2022-01-07,89.14,89.77,86.36,86.41,33551111
2022-01-10,86.33,86.5,86.06,86.48,13224223
2022-01-11,86.7,87.16,85.93,86.4,25906665
2022-01-12,86.56,88.06,84.3,87.99,21585820
2022-01-13,87.94,89.67,84.95,86.41,44166948
2022-01-14,86.12,86.61,84.96,85.35,10067248
2022-01-17,85.61,86.3,84.71,85.94,19066901
2022-01-18,85.7,86.88,81.74,81.83,24568906
2022-01-19,81.76,87.26,81.29,87.09,21169220
2022-01-20,87.24,87.49,85.85,85.89,40859565
2022-01-21,86.09,86.59,81.98,84.67,26723690
2022-01-24,84.52,86.29,83.2,86.15,21987745
2022-01-25,86.15,86.74,85.81,86.1,7755126
2022-01-26,86.06,86.98,82.91,83.11,5666916
2022-01-27,83.31,84.8,82.37,84.17,31624394
2022-01-28,84.6,85.95,84.1,85.64,25695042
2022-01-31,85.33,86.23,84.82,84.89,6089199
2022-02-01,85.05,85.06,84.28,84.43,43648250
2022-02-02,83.95,85.92,83.05,85.28,43985090
2022-02-03,85.28,85.92,83.12,83.76,41989189
2022-02-04,83.57,84.78,82.65,84.51,20682197
2022-02-07,84.85,85.74,82.95,84.87,27070757
2022-02-08,84.89,86.61,83.29,83.74,44968446
2022-02-09,83.62,84.09,80.93,81.46,12628216
2022-02-10,81.38,81.69,81.09,81.11,11722134
2022-02-11,81.02,81.17,78.71,79.72,9269395
2022-02-14,79.75,81.87,79.67,81.35,37231173
2022-02-15,81.32,81.91,80.8,81.6,6384546
2022-02-16,81.71,83.98,80.33,82.9,31348107
2022-02-17,83.16,84.52,82.54,83.14,45612456
2022-02-18,83.26,83.66,83.12,83.6,30506247
2022-02-21,83.39,83.49,81.39,82.31,6078013
2022-02-22,82.05,83.61,81.6,83.44,45794518
2022-02-23,83.31,87.58,81.15,86.49,40128036
2022-02-24,86.67,87.34,85.37,85.97,8904091
2022-02-25,85.91,86.92,84.54,84.98,40335941
2022-02-28,84.86,85.56,84.37,84.72,46298423
2022-03-01,84.75,84.88,83.0,83.93,41270130
2022-03-02,83.69,83.91,82.64,82.78,17622361
2022-03-03,82.59,83.64,81.83,83.02,41588638
2022-03-04,83.11,84.72,81.74,82.56,16422122
2022-03-07,82.51,85.19,81.83,84.98,10526394
2022-03-08,84.91,85.91,84.82,85.0,35811067
2022-03-09,85.06,87.79,84.76,85.57,15713978
2022-03-10,85.47,88.59,84.78,87.23,23593489
2022-03-11,87.11,88.14,86.61,86.73,15691706
2022-03-14,86.65,89.76,86.46,89.27,11034300
2022-03-15,89.38,91.22,87.63,88.17,23544892
2022-03-16,88.18,89.68,85.5,86.77,30111545
2022-03-17,86.57,87.61,85.5,86.16,30161134
2022-03-18,86.1,86.78,84.49,85.98,44418526
2022-03-21,86.09,86.91,83.29,83.62,35470440
2022-03-22,83.93,84.04,83.5,83.57,5397870
2022-03-23,83.38,83.55,80.53,80.85,7738196
2022-03-24,80.9,84.74,79.69,83.15,23109535
2022-03-25,83.11,83.94,82.14,83.03,21994800
2022-03-28,83.17,84.18,81.68,81.99,13061991
2022-03-29,82.06,82.41,79.99,80.53,47328028
2022-03-30,80.77,80.88,78.31,79.93,36888584
2022-03-31,80.01,80.56,78.4,79.59,10577067
2022-04-01,79.5,80.7,76.44,77.96,40419642
2022-04-04,77.87,78.55,76.25,76.55,23981379
2022-04-05,76.61,76.9,75.36,76.28,11372116
2022-04-06,76.34,76.93,74.46,75.51,27504735
2022-04-07,75.87,78.25,75.54,76.95,43002577
2022-04-08,77.21,79.81,76.81,78.74,16159882
2022-04-11,78.56,78.96,77.44,78.78,19052532
2022-04-12,78.84,80.38,78.32,79.55,22451970
2022-04-13,79.34,79.6,76.98,77.47,38744014
2022-04-14,77.21,78.8,76.26,78.48,38606399
2022-04-15,78.59,79.18,78.28,78.44,10795992
2022-04-18,78.53,80.28,78.13,79.22,8134920
2022-04-19,79.06,81.89,78.93,81.82,26303152
2022-04-20,82.09,82.68,77.47,78.18,34215756
2022-04-21,78.03,79.09,77.7,78.61,34769460
2022-04-22,78.43,78.92,76.5,76.92,27275299
2022-04-25,77.02,77.99,76.57,77.85,24643681
2022-04-26,77.88,78.0,75.31,75.84,36017225
2022-04-27,75.82,77.12,74.9,75.11,26579210
2022-04-28,75.1,75.55,74.61,75.43,39887833
2022-04-29,75.47,76.68,74.95,76.38,29659205
2022-05-02,76.36,77.3,75.24,76.51,46777524
2022-05-03,76.48,77.08,74.14,75.32,18501505
2022-05-04,75.03,75.19,73.39,74.5,34207861
2022-05-05,74.3,76.72,73.84,75.85,34692649
2022-05-06,75.94,76.53,75.09,75.86,12917757
2022-05-09,75.75,76.44,73.01,73.36,47917770
2022-05-10,73.44,75.15,73.07,74.62,39565071
2022-05-11,74.81,76.03,73.11,75.26,38365142
2022-05-12,75.21,77.58,74.69,76.6,24068449
2022-05-13,76.65,77.46,75.55,76.1,49369865
2022-05-16,76.42,77.73,76.11,77.39,36436670
2022-05-17,77.5,77.59,75.61,75.78,24503136
2022-05-18,76.06,78.22,75.69,76.66,36014010
2022-05-19,76.9,77.54,74.81,75.93,40076098
2022-05-20,76.05,77.37,75.71,76.98,44928105
2022-05-23,76.96,78.88,75.46,78.56,31020955
2022-05-24,78.43,79.15,76.04,77.43,31517171
2022-05-25,77.25,77.48,76.81,77.36,20495735
2022-05-26,77.44,77.6,76.85,77.44,15326335
2022-05-27,77.51,79.44,77.39,79.32,7918295
2022-05-30,79.29,80.72,79.13,80.47,23281149
2022-05-31,80.61,81.34,76.69,78.55,21348966
2022-06-01,78.45,80.75,77.51,79.28,32927881
2022-06-02,79.46,80.78,79.2,80.49,27339995
2022-06-03,80.5,84.75,80.33,84.0,30686480
2022-06-06,83.99,84.58,80.25,81.24,39172178
2022-06-07,81.24,82.98,78.51,80.39,13713220
2022-06-08,80.38,83.54,80.32,82.58,43048914
2022-06-09,82.99,83.14,79.91,80.39,42081449
2022-06-10,80.13,81.28,77.94,78.5,41211346
2022-06-13,78.53,80.36,78.05,79.33,31075599
2022-06-14,79.53,81.27,77.91,80.98,26913694
2022-06-15,81.1,81.96,79.7,79.92,30956062
2022-06-16,79.87,81.04,79.06,80.8,10677517
2022-06-17,81.09,81.19,80.39,81.01,14229421
2022-06-20,80.84,83.74,79.64,83.52,31994877
2022-06-21,83.31,84.43,82.66,83.54,27122998
2022-06-22,83.63,86.83,81.89,85.23,36955807
2022-06-23,84.98,85.11,83.49,83.72,17091340
2022-06-24,83.32,83.76,83.26,83.43,38556226
2022-06-27,83.57,84.37,82.18,83.28,20089295
2022-06-28,83.41,85.55,83.12,85.22,42032166
2022-06-29,85.34,87.18,84.22,86.23,20384946
2022-06-30,86.14,86.64,84.44,84.96,18132160
2022-07-01,84.99,87.46,84.52,86.14,32256276
2022-07-04,85.98,87.67,85.26,87.5,25062347
2022-07-05,87.8,87.97,86.78,87.32,21775431
2022-07-06,87.46,87.91,85.73,86.89,19547673
2022-07-07,87.02,87.86,86.16,86.57,45495770
2022-07-08,86.23,87.22,83.27,83.7,7023452
2022-07-11,83.84,85.32,83.0,84.03,38784195
2022-07-12,84.29,84.6,83.82,84.45,20377752
2022-07-13,84.65,86.13,82.69,83.01,49127282
2022-07-14,83.14,84.64,81.43,84.27,36781750
2022-07-15,84.27,85.5,81.41,82.01,32523800
2022-07-18,81.95,82.61,80.95,81.12,20671062
2022-07-19,81.22,82.22,80.37,80.37,24364504
2022-07-20,80.43,84.02,79.56,83.65,15253352
2022-07-21,83.69,85.3,80.53,81.03,22679108
2022-07-22,80.98,82.51,80.47,81.96,41768386
2022-07-25,82.24,83.66,82.09,83.54,6659477
2022-07-26,83.34,84.42,82.02,84.19,34211283
2022-07-27,84.19,88.54,83.48,86.22,36689843
2022-07-28,86.12,86.51,84.5,84.53,44372484
2022-07-29,84.7,87.03,80.1,80.77,19208881
2022-08-01,81.0,82.75,80.69,82.04,39704241
2022-08-02,82.24,82.97,79.31,80.12,6020710
2022-08-03,80.24,81.7,79.01,79.61,28703998
2022-08-04,79.39,80.87,77.63,77.77,46067474
2022-08-05,78.09,79.8,77.56,79.44,36622431
2022-08-08,79.52,82.17,78.7,80.84,15636913
2022-08-09,80.83,82.13,78.99,79.7,20995595
2022-08-10,79.71,81.67,77.59,81.17,9205956
2022-08-11,81.12,82.2,81.11,81.39,27877956
2022-08-12,81.46,81.93,80.42,81.18,38220624
2022-08-15,81.23,81.5,80.89,81.29,10938957
2022-08-16,81.23,81.51,80.78,80.97,39715391
2022-08-17,80.56,82.59,80.4,81.99,18200371
2022-08-18,81.99,83.18,80.97,82.52,39712837
2022-08-19,82.6,83.47,81.73,81.96,40395518
2022-08-22,82.05,85.9,81.45,83.64,32717620
2022-08-23,83.62,84.38,80.89,82.64,24654261
2022-08-24,82.72,85.18,81.84,83.13,6179208
2022-08-25,83.31,84.87,83.19,83.86,14983280
2022-08-26,83.78,86.68,83.58,86.39,29050184
2022-08-29,86.64,86.7,85.11,85.54,5029174
2022-08-30,85.2,90.24,84.0,88.59,48231326
2022-08-31,88.37,89.05,87.92,88.92,34978081
2022-09-01,88.76,89.08,87.47,88.6,25484458
2022-09-02,88.16,88.21,86.99,87.43,46938886
2022-09-05,87.25,88.59,87.21,88.48,18346285
2022-09-06,88.7,89.51,88.26,88.58,30196228
2022-09-07,88.8,90.1,84.91,86.67,30081594
2022-09-08,86.68,87.27,84.53,84.75,43693402
2022-09-09,85.04,85.99,83.63,83.83,33453947
2022-09-12,83.87,84.6,82.67,82.72,20516634
2022-09-13,82.64,85.13,82.4,84.56,18391134
2022-09-14,84.6,86.99,84.1,86.94,9712381
2022-09-15,86.91,88.86,85.33,88.48,39870425
2022-09-16,88.61,89.45,87.3,89.13,39700467
2022-09-19,88.86,89.69,87.79,88.39,42868324
2022-09-20,88.57,89.4,88.35,88.5,41249591
2022-09-21,88.42,90.86,87.39,90.1,6091436
2022-09-22,90.26,94.94,89.39,94.04,49213426
2022-09-23,93.75,95.88,93.1,95.8,9520141
2022-09-26,95.72,96.15,95.16,95.28,29003490
2022-09-27,95.29,96.24,94.54,95.37,27526052
2022-09-28,95.54,96.51,93.74,94.47,43593386
2022-09-29,94.24,94.76,92.44,93.03,7652308
2022-09-30,93.34,93.88,92.55,92.7,34718471
2022-10-03,92.79,93.23,92.09,93.08,13814262
2022-10-04,92.99,97.69,91.75,96.58,27636505
2022-10-05,96.82,96.91,96.14,96.7,44266139
2022-10-06,96.72,99.8,95.82,99.39,6700852
2022-10-07,99.62,103.15,99.49,102.98,49935255
2022-10-10,103.46,104.15,101.43,103.16,7092425
2022-10-11,103.32,106.62,103.26,106.56,42909838
2022-10-12,106.45,108.57,105.22,108.11,8703315
2022-10-13,108.02,108.38,107.22,107.24,12401794
2022-10-14,107.36,107.93,106.94,107.83,9244426
2022-10-17,107.89,108.71,106.78,107.9,41175006
2022-10-18,107.72,109.68,106.82,107.42,21712973
2022-10-19,107.28,108.95,105.48,107.02,31188613
2022-10-20,107.16,108.02,106.1,107.35,7159501
2022-10-21,107.85,108.74,106.99,108.3,49767891
2022-10-24,107.73,108.07,103.73,106.43,34162470
2022-10-25,106.58,106.86,106.27,106.43,17710334
2022-10-26,106.38,107.61,102.05,103.26,20225697
2022-10-27,103.42,106.69,101.97,103.82,45547437
2022-10-28,104.0,105.41,102.47,105.14,34383441
2022-10-31,105.15,107.61,104.49,105.51,5726496
2022-11-01,105.29,106.14,105.09,106.13,35074614
2022-11-02,105.84,108.84,105.82,107.41,14989178
2022-11-03,107.01,107.99,103.84,106.02,32253136
2022-11-04,106.27,108.7,104.26,105.53,45694702
2022-11-07,105.49,108.02,105.48,106.64,24420443
2022-11-08,106.52,110.45,105.2,108.82,27945441
2022-11-09,108.76,110.25,107.68,109.7,41187212
2022-11-10,109.41,116.92,109.33,115.47,14379384
2022-11-11,115.54,116.47,114.79,115.28,35381243
2022-11-14,115.59,119.01,114.11,117.63,36496868
2022-11-15,117.9,122.73,116.55,120.68,5567365
2022-11-16,120.3,121.15,119.19,120.38,19327690
2022-11-17,120.71,121.05,117.3,118.44,45507034
2022-11-18,118.26,119.78,115.64,115.7,31512339
2022-11-21,115.26,117.41,114.21,116.1,48672613
2022-11-22,115.81,119.62,115.15,118.73,23703905
2022-11-23,118.5,121.02,118.16,119.4,46682233
2022-11-24,119.4,120.73,118.82,119.84,8619904
2022-11-25,119.59,119.78,117.36,118.95,38954304
2022-11-28,118.59,121.89,117.06,120.32,7877535
2022-11-29,120.26,121.37,114.91,115.31,33333093
2022-11-30,115.76,116.74,114.16,115.87,46103897
2022-12-01,115.71,116.55,114.85,115.96,22319139
2022-12-02,116.07,117.04,112.18,112.85,44086774
2022-12-05,112.87,119.2,110.98,117.89,6101998
2022-12-06,118.52,118.67,114.63,114.69,25612552
2022-12-07,114.25,116.19,112.26,112.26,36516683
2022-12-08,112.51,114.43,108.47,109.62,15809860
2022-12-09,109.34,112.6,109.27,112.11,44176662
2022-12-12,111.97,112.07,109.5,110.15,10992716
2022-12-13,110.13,111.75,110.07,111.66,25039573
2022-12-14,112.37,113.67,111.51,113.0,48091342
2022-12-15,112.83,114.01,112.46,113.61,45235681
2022-12-16,113.18,114.19,109.54,110.7,29317196
2022-12-19,110.99,111.07,108.47,109.38,49552609
2022-12-20,109.19,113.2,109.05,113.12,5346814
2022-12-21,113.07,113.66,109.3,110.26,20702307
2022-12-22,110.26,110.39,106.5,108.46,33152862
2022-12-23,108.49,108.88,107.8,108.13,22088790
2022-12-26,108.1,110.63,106.78,109.92,39090461
